weekday,month,year,business_day,wind_dir_degrees,precipitation_inches
5,6,2014,0,282.0,0.0
6,6,2014,0,248.0,0.0
0,6,2014,1,248.0,0.0
1,6,2014,1,246.0,0.0
2,6,2014,1,280.0,0.0
3,6,2014,1,302.0,0.0
4,6,2014,1,250.0,0.0
5,6,2014,0,276.0,0.0
6,6,2014,0,249.0,0.0
0,6,2014,1,252.0,0.0
1,6,2014,1,269.0,0.0
2,6,2014,1,263.0,0.0
3,6,2014,1,261.0,0.0
4,6,2014,1,261.0,0.0
5,6,2014,0,253.0,0.0
6,6,2014,0,276.0,0.0
0,6,2014,1,304.0,0.0
1,7,2014,1,316.0,0.0
2,7,2014,1,265.0,0.0
3,7,2014,1,264.0,0.0
4,7,2014,0,320.0,0.0
5,7,2014,0,299.0,0.0
6,7,2014,0,296.0,0.0
0,7,2014,1,314.0,0.0
1,7,2014,1,311.0,0.0
2,7,2014,1,314.0,0.0
3,7,2014,1,270.0,0.0
4,7,2014,1,262.0,0.0
5,7,2014,0,273.0,0.0
6,7,2014,0,280.0,0.0
0,7,2014,1,310.0,0.0
1,7,2014,1,321.0,0.0
2,7,2014,1,285.0,0.0
3,7,2014,1,275.0,0.0
4,7,2014,1,276.0,0.0
5,7,2014,0,293.0,0.0
6,7,2014,0,297.0,0.0
0,7,2014,1,293.0,0.0
1,7,2014,1,276.0,0.01
2,7,2014,1,266.0,0.0
3,7,2014,1,284.0,0.0
4,7,2014,1,293.0,0.0
5,7,2014,0,310.0,0.0
6,7,2014,0,307.0,0.0
0,7,2014,1,316.0,0.0
1,7,2014,1,303.0,0.0
2,7,2014,1,305.0,0.0
3,7,2014,1,307.0,0.0
4,8,2014,1,305.0,0.0
5,8,2014,0,293.0,0.0
6,8,2014,0,274.0,0.0
0,8,2014,1,281.0,0.0
1,8,2014,1,294.0,0.0
2,8,2014,1,299.0,0.0
3,8,2014,1,291.0,0.0
4,8,2014,1,274.0,0.0
5,8,2014,0,255.0,0.0
6,8,2014,0,262.0,0.0
0,8,2014,1,305.0,0.0
1,8,2014,1,275.0,0.0
2,8,2014,1,276.0,0.0
3,8,2014,1,315.0,0.0
4,8,2014,1,323.0,0.0
5,8,2014,0,305.0,0.0
6,8,2014,0,293.0,0.0
0,8,2014,1,271.0,0.0
1,8,2014,1,266.0,0.0
2,8,2014,1,263.0,0.0
3,8,2014,1,298.0,0.0
4,8,2014,1,273.0,0.0
5,8,2014,0,269.0,0.0
6,8,2014,0,291.0,0.0
0,8,2014,1,265.0,0.0
1,8,2014,1,284.0,0.0
2,8,2014,1,302.0,0.0
3,8,2014,1,296.0,0.0
4,8,2014,1,272.0,0.0
5,8,2014,0,267.0,0.0
6,8,2014,0,279.0,0.0
0,9,2014,0,290.0,0.0
1,9,2014,1,290.0,0.0
2,9,2014,1,276.0,0.0
3,9,2014,1,301.0,0.0
4,9,2014,1,309.0,0.0
5,9,2014,0,290.0,0.0
6,9,2014,0,293.0,0.0
0,9,2014,1,272.0,0.0
1,9,2014,1,270.0,0.0
2,9,2014,1,283.0,0.0
3,9,2014,1,312.0,0.0
4,9,2014,1,299.0,0.0
5,9,2014,0,306.0,0.0
6,9,2014,0,295.0,0.0
0,9,2014,1,281.0,0.0
1,9,2014,1,276.0,0.0
2,9,2014,1,267.0,0.0
3,9,2014,1,242.0,0.0
4,9,2014,1,295.0,0.0
5,9,2014,0,296.0,0.0
6,9,2014,0,269.0,0.0
0,9,2014,1,277.0,0.0
1,9,2014,1,276.0,0.0
2,9,2014,1,267.0,0.01
3,9,2014,1,288.0,0.43
4,9,2014,1,290.0,0.0
5,9,2014,0,248.0,0.0
6,9,2014,0,219.0,0.0
0,9,2014,1,278.0,0.0
1,9,2014,1,253.0,0.0
2,10,2014,1,283.0,0.0
3,10,2014,1,309.0,0.0
4,10,2014,1,289.0,0.0
5,10,2014,0,323.0,0.0
6,10,2014,0,317.0,0.0
0,10,2014,1,298.0,0.0
1,10,2014,1,296.0,0.0
2,10,2014,1,310.0,0.0
3,10,2014,1,288.0,0.0
4,10,2014,1,273.0,0.0
5,10,2014,0,265.0,0.0
6,10,2014,0,284.0,0.0
0,10,2014,0,347.0,0.0
1,10,2014,1,206.0,0.0
2,10,2014,1,225.0,0.0
3,10,2014,1,313.0,0.0
4,10,2014,1,142.0,0.0
5,10,2014,0,285.0,0.0
6,10,2014,0,300.0,0.0
0,10,2014,1,250.0,0.01
1,10,2014,1,307.0,0.0
2,10,2014,1,281.0,0.0
3,10,2014,1,302.0,0.01
4,10,2014,1,184.0,0.0
5,10,2014,0,208.0,0.23
6,10,2014,0,324.0,0.0
0,10,2014,1,300.0,0.0
1,10,2014,1,325.0,0.0
2,10,2014,1,285.0,0.0
3,10,2014,1,270.0,0.0
4,10,2014,1,224.0,0.32
5,11,2014,0,270.0,0.0
6,11,2014,0,281.0,0.0
0,11,2014,1,281.0,0.0
1,11,2014,1,297.0,0.0
2,11,2014,1,202.0,0.0
3,11,2014,1,295.0,0.0
4,11,2014,1,332.0,0.01
5,11,2014,0,265.0,0.0
6,11,2014,0,299.0,0.0
0,11,2014,1,316.0,0.01
1,11,2014,0,233.0,0.0
2,11,2014,1,258.0,0.11
3,11,2014,1,211.0,0.2
4,11,2014,1,273.0,0.0
5,11,2014,0,300.0,0.0
6,11,2014,0,54.0,0.0
0,11,2014,1,87.0,0.0
1,11,2014,1,68.0,0.0
2,11,2014,1,142.0,0.15
3,11,2014,1,98.0,0.66
4,11,2014,1,78.0,0.0
5,11,2014,0,213.0,0.26
6,11,2014,0,278.0,0.0
0,11,2014,1,300.0,0.0
1,11,2014,1,147.0,0.0
2,11,2014,1,355.0,0.0
3,11,2014,0,337.0,0.0
4,11,2014,1,161.0,0.0
5,11,2014,0,135.0,0.08
6,11,2014,0,84.0,0.32
0,12,2014,1,53.0,0.0
1,12,2014,1,102.0,1.18
2,12,2014,1,151.0,1.43
3,12,2014,1,160.0,0.01
4,12,2014,1,139.0,0.1
5,12,2014,0,129.0,0.11
6,12,2014,0,110.0,0.01
0,12,2014,1,65.0,0.0
1,12,2014,1,356.0,0.0
2,12,2014,1,119.0,0.0
3,12,2014,1,162.0,3.12
4,12,2014,1,105.0,0.48
5,12,2014,0,63.0,0.0
6,12,2014,0,94.0,0.19
0,12,2014,1,125.0,1.09
1,12,2014,1,135.0,0.65
2,12,2014,1,127.0,0.13
3,12,2014,1,119.0,0.0
4,12,2014,1,144.0,0.25
5,12,2014,0,160.0,0.0
6,12,2014,0,197.0,0.09
0,12,2014,1,266.0,0.0
1,12,2014,1,321.0,0.0
2,12,2014,1,303.0,0.02
3,12,2014,0,338.0,0.0
4,12,2014,1,8.0,0.0
5,12,2014,0,88.0,0.0
6,12,2014,0,176.0,0.0
0,12,2014,1,318.0,0.0
1,12,2014,1,1.0,0.0
2,12,2014,1,8.0,0.0
3,1,2015,0,40.0,0.0
4,1,2015,1,63.0,0.0
5,1,2015,0,305.0,0.0
6,1,2015,0,154.0,0.0
0,1,2015,1,170.0,0.0
1,1,2015,1,224.0,0.0
2,1,2015,1,235.0,0.0
3,1,2015,1,332.0,0.0
4,1,2015,1,299.0,0.0
5,1,2015,0,280.0,0.0
6,1,2015,0,143.0,0.0
0,1,2015,1,246.0,0.0
1,1,2015,1,135.0,0.0
2,1,2015,1,47.0,0.0
3,1,2015,1,287.0,0.0
4,1,2015,1,349.0,0.0
5,1,2015,0,188.0,0.0
