T,method,OG
1000,ER-SAA,8.065432294495118
1000,M5 + AD,6.8513807548957
10000,SAA,22.0430665544242
10000,KNN,3.723459141817209
10000,LS,0.4132275506089124
10000,AD,8.464079319180781
10000,CART,13.66798365160971
10000,ER-SAA,7.211617511189474
10000,M5 + AD,0.025849472009588186
100,SAA,53.13355665357151
100,KNN,4.255456955560892
100,LS,27.445460139598172
100,AD,4.712244703359248
100,CART,0.033530409648163305
100,ER-SAA,5.424786593014849
100,M5 + AD,2.0137236330404726
1000,SAA,38.562404539219045
1000,KNN,0.6717458818360947
1000,LS,7.9383101064988395
1000,AD,4.775238482659319
1000,CART,2.169842049782482
1000,ER-SAA,4.652258653792136
1000,M5 + AD,0.11130615940487797
10000,SAA,41.5938239139789
10000,KNN,0.018489566220791585
10000,LS,9.931938286996242
10000,AD,4.869819121804147
10000,CART,9.488729555953936
10000,ER-SAA,5.367070389324402
10000,M5 + AD,0.6245674638473306
100,SAA,31.788050472182206
100,KNN,6.804362708136543
100,LS,2.674837391934696
100,AD,12.817434291364938
100,CART,87.44940900957214
100,ER-SAA,12.386061419000962
100,M5 + AD,0.17665063380514054
1000,SAA,23.12263021192166
1000,KNN,5.286788101462913
1000,LS,2.3681524453185827
1000,AD,11.98758683829395
1000,CART,0.5192276032861883
1000,ER-SAA,9.497681539656572
1000,M5 + AD,0.2107567614571992
10000,SAA,18.58118028627728
10000,KNN,3.022257118971259
10000,LS,2.0185903687611084
10000,AD,10.426335862741354
10000,CART,0.29141680693084554
10000,ER-SAA,8.643013624362174
10000,M5 + AD,0.11541166067017504
100,SAA,32.82792507452072
100,KNN,5.380626605629758
100,LS,3.7804253706257396
100,AD,4.504737005426221
100,CART,1.2344956808544412
100,ER-SAA,4.500424160527414
100,M5 + AD,1.5438115009456779
1000,SAA,34.54647686532326
1000,KNN,2.4487297854991756
1000,LS,5.004020363035482
1000,AD,6.2014506262759825
1000,CART,12.695013116601015
1000,ER-SAA,5.3644195906901855
1000,M5 + AD,0.43328111866009
10000,SAA,34.94598011655634
10000,KNN,0.49586629418416184
10000,LS,6.997060336063889
10000,AD,5.181887025160081
10000,CART,12.037680116911524
10000,ER-SAA,5.322123183091728
10000,M5 + AD,0.15446816531334018
100,SAA,15.217497335581601
100,KNN,9.863354472106886
100,LS,0.5267770528271621
100,AD,5.388953216253529
100,CART,173.46897250824645
100,ER-SAA,6.622571579470849
100,M5 + AD,0.10770737021128356
1000,SAA,22.436867077282727
1000,KNN,7.776974980717724
1000,LS,1.6853621592148433
1000,AD,9.670875369331782
1000,CART,0.7989464212811842
1000,ER-SAA,8.096877135393493
1000,M5 + AD,0.46994272232858875
10000,SAA,22.91057940272225
10000,KNN,2.965545817144395
10000,LS,1.9265971827011696
10000,AD,10.265883641955002
10000,CART,1.2447786954941822
10000,ER-SAA,8.763148594594243
10000,M5 + AD,0.017533753551323833
100,SAA,27.714595208437032
100,KNN,15.850354888793424
100,LS,0.12102333044817955
100,AD,7.349648304914742
100,CART,8.05263127292891
100,ER-SAA,6.571804148321324
100,M5 + AD,6.5122236499318875
1000,SAA,28.29917165054031
1000,KNN,8.431568262026143
1000,LS,0.06591703436528276
1000,AD,9.31700103199426
1000,CART,52.94047376241879
1000,ER-SAA,7.161169113674467
1000,M5 + AD,0.4340320270853721
10000,SAA,27.24038348469973
10000,KNN,2.808113329674129
10000,LS,0.101494636254527
10000,AD,8.063296008016545
10000,CART,19.08418808138072
10000,ER-SAA,6.645398953620332
10000,M5 + AD,0.8565105302598088
100,SAA,9.786025667889824
100,KNN,3.774130229648506
100,LS,3.0809939812574836
100,AD,8.02385712299672
100,CART,51.2619992298478
100,ER-SAA,3.4513554627967555
100,M5 + AD,4.092515191297236
1000,SAA,3.7289913958508825
1000,KNN,10.13522948517833
1000,LS,1.582119650823689
1000,AD,6.6736129300912665
1000,CART,2.2507734618024915
1000,ER-SAA,4.0251380534201795
1000,M5 + AD,2.841962728368008
10000,SAA,2.257699617791143
10000,KNN,6.868406938532537
10000,LS,0.9338810914350232
10000,AD,6.589779030600804
10000,CART,2.3719044472186623
10000,ER-SAA,4.034209884369594
10000,M5 + AD,0.7158598058846908
100,SAA,3.6991484170357847
100,KNN,0.255320451098664
100,LS,11.331376061794932
100,AD,2.124878498801569
100,CART,128.4500458529982
100,ER-SAA,1.9676107323854128
100,M5 + AD,2.6588478948177006
1000,SAA,3.71717564361037
1000,KNN,7.294769648534313
1000,LS,0.06081847531091002
1000,AD,6.44874793479193
1000,CART,2.962774270095115
