T,method,OoS
100,M5 + AD,0.06030532579367263
100,CART,4.3509313627768575
1000,SAA,1.5923752118237355
1000,LS,1.405776712603064
1000,ER-SAA,0.008255823664532612
1000,AD,0.030544117473328743
1000,KNN,1.0438183206430978
1000,M5 + AD,0.056571175386407435
1000,CART,0.8687727746553848
10000,SAA,1.9512530953265446
10000,LS,1.3364179631118542
10000,ER-SAA,0.0046270253177422786
10000,AD,0.02325321878531848
10000,KNN,0.342167598164925
10000,M5 + AD,0.1590107756673406
10000,CART,3.977772457389606
100,SAA,5.47835716274933
100,LS,1.323140755808895
100,ER-SAA,0.015998575250424724
100,AD,0.05867298089211313
100,KNN,3.2631672098162006
100,M5 + AD,0.4122047532894978
100,CART,5.545872694797849
1000,SAA,6.774349994119562
1000,LS,1.3623039990280756
1000,ER-SAA,0.004937812697772651
1000,AD,0.02931116408019914
1000,KNN,1.7309359629082872
1000,M5 + AD,0.08300076143082888
1000,CART,2.124452116347266
10000,SAA,6.669223793445436
10000,LS,1.4090320724160013
10000,ER-SAA,0.005021122206702359
10000,AD,0.02531690489652604
10000,KNN,0.5940805343659227
10000,M5 + AD,0.0407516283387809
10000,CART,2.921072478960723
100,SAA,23.15389452668116
100,LS,1.1308443412224771
100,ER-SAA,0.020207778216471954
100,AD,0.017612254330268418
100,KNN,10.80391472255249
100,M5 + AD,0.16807101536742167
100,CART,7.333483518103538
1000,SAA,22.744443456487527
1000,LS,1.1525156363326088
1000,ER-SAA,0.006597919360572782
1000,AD,0.03482589904246384
1000,KNN,0.4595451454275614
1000,M5 + AD,0.033429085686030535
1000,CART,13.252306089030208
10000,SAA,21.752285962846308
10000,LS,1.1468895667290038
10000,ER-SAA,0.005167497800563795
10000,AD,0.03127968598861693
10000,KNN,0.07606758083083032
10000,M5 + AD,0.08251785369654964
10000,CART,2.198178262703998
100,SAA,3.6838558236958185
100,LS,1.8062922237411305
100,ER-SAA,0.08516556553504454
100,AD,0.11623656100620235
100,KNN,0.1137218832472536
100,M5 + AD,0.06095042001338783
100,CART,34.19932699377983
1000,SAA,2.837787908040893
1000,LS,1.4481342361264165
1000,ER-SAA,0.007943771471348804
1000,AD,0.02960524354136272
1000,KNN,0.3640530679226815
1000,M5 + AD,0.04308337019495772
1000,CART,2.2102138857127334
10000,SAA,3.663011405574429
10000,LS,1.3905402696827336
10000,ER-SAA,0.0050307268716902115
10000,AD,0.028656009216048797
10000,KNN,0.7949807514129307
10000,M5 + AD,0.38875274511358704
10000,CART,6.65450871586699
100,SAA,11.118288341613965
100,LS,1.2788039734336556
100,ER-SAA,0.011793800231474508
100,AD,0.04768945297523512
100,KNN,0.597161889897927
100,M5 + AD,0.05708605162548992
100,CART,12.373771411552887
1000,SAA,9.11052974259268
1000,LS,1.4203061757584998
1000,ER-SAA,0.006066934034660423
1000,AD,0.020806616295677437
1000,KNN,1.183732779251109
1000,M5 + AD,0.16501145144768706
1000,CART,4.38851494924522
10000,SAA,8.310203115064077
10000,LS,1.4115291172818274
10000,ER-SAA,0.0037321981335314823
10000,AD,0.02581208186846466
10000,KNN,0.18045901299054806
10000,M5 + AD,0.05835077736341651
10000,CART,0.8289345550607733
100,SAA,4.617261547784888
100,LS,1.955789409649148
100,ER-SAA,0.03081691830834672
100,AD,0.09251664354628178
100,KNN,4.765392306213971
100,M5 + AD,0.15534337336718398
100,CART,20.849430549666078
1000,SAA,4.303428720938768
1000,LS,1.3899037582809362
1000,ER-SAA,0.01137387359705797
1000,AD,0.043395741572274854
1000,KNN,1.9089649082189222
1000,M5 + AD,0.18670157305375992
1000,CART,14.391496328600613
10000,SAA,4.825395313148628
10000,LS,1.2906191340164173
10000,ER-SAA,0.005794610557049284
10000,AD,0.06318599822421468
10000,KNN,0.7212995209849963
10000,M5 + AD,0.14067391392909578
10000,CART,1.8442974495248872
100,SAA,7.455942053146748
100,LS,1.8044820543166362
100,ER-SAA,0.014993707291077537
100,AD,0.10747738158098107
100,KNN,0.7594011070342137
100,M5 + AD,0.25497058332238504
100,CART,7.732222488841305
1000,SAA,7.409488144077052
1000,LS,1.2997659504502985
1000,ER-SAA,0.007675428972718704
1000,AD,0.024404018612636743
1000,KNN,0.8628004819703754
